,Date,Total Approve,Total Disapprove,Total_Approve,Total_Disapprove,Relative_Approval,Neutral
0,2022-07-12,38%,60%,38,60,-22,2
1,2022-07-11,37%,61%,37,61,-24,2
2,2022-07-08,37%,61%,37,61,-24,2
3,2022-07-07,41%,58%,41,58,-17,1
4,2022-07-06,41%,58%,41,58,-17,1
5,2022-07-01,41%,58%,41,58,-17,1
6,2022-06-30,40%,59%,40,59,-19,1
7,2022-06-29,39%,59%,39,59,-20,2
8,2022-06-28,40%,58%,40,58,-18,2
9,2022-06-27,41%,58%,41,58,-17,1
10,2022-06-24,40%,58%,40,58,-18,2
11,2022-06-23,40%,59%,40,59,-19,1
12,2022-06-22,39%,59%,39,59,-20,2
13,2022-06-21,40%,59%,40,59,-19,1
14,2022-06-20,41%,58%,41,58,-17,1
15,2022-06-17,42%,57%,42,57,-15,1
16,2022-06-16,42%,58%,42,58,-16,0
17,2022-06-15,40%,58%,40,58,-18,2
18,2022-06-14,38%,61%,38,61,-23,1
19,2022-06-13,38%,60%,38,60,-22,2
20,2022-06-10,39%,59%,39,59,-20,2
21,2022-06-09,40%,58%,40,58,-18,2
22,2022-06-08,41%,57%,41,57,-16,2
23,2022-06-07,41%,57%,41,57,-16,2
24,2022-06-06,41%,57%,41,57,-16,2
25,2022-06-03,40%,58%,40,58,-18,2
26,2022-06-02,41%,57%,41,57,-16,2
27,2022-06-01,42%,56%,42,56,-14,2
28,2022-05-31,43%,55%,43,55,-12,2
29,2022-05-30,43%,55%,43,55,-12,2
30,2022-05-27,43%,55%,43,55,-12,2
31,2022-05-26,42%,56%,42,56,-14,2
32,2022-05-25,43%,56%,43,56,-13,1
33,2022-05-24,42%,57%,42,57,-15,1
34,2022-05-23,42%,57%,42,57,-15,1
35,2022-05-20,40%,58%,40,58,-18,2
36,2022-05-19,41%,57%,41,57,-16,2
37,2022-05-18,43%,55%,43,55,-12,2
38,2022-05-17,44%,55%,44,55,-11,1
39,2022-05-16,42%,56%,42,56,-14,2
40,2022-05-13,41%,57%,41,57,-16,2
41,2022-05-12,40%,58%,40,58,-18,2
42,2022-05-11,40%,59%,40,59,-19,1
43,2022-05-10,41%,57%,41,57,-16,2
44,2022-05-09,43%,55%,43,55,-12,2
45,2022-05-06,45%,53%,45,53,-8,2
46,2022-05-05,43%,55%,43,55,-12,2
47,2022-05-04,42%,56%,42,56,-14,2
48,2022-05-03,43%,55%,43,55,-12,2
49,2022-05-02,44%,54%,44,54,-10,2
50,2022-04-29,42%,55%,42,55,-13,3
51,2022-04-28,42%,57%,42,57,-15,1
52,2022-04-27,41%,58%,41,58,-17,1
53,2022-04-26,41%,58%,41,58,-17,1
54,2022-04-25,42%,57%,42,57,-15,1
55,2022-04-22,41%,57%,41,57,-16,2
56,2022-04-21,43%,56%,43,56,-13,1
57,2022-04-20,43%,56%,43,56,-13,1
58,2022-04-19,45%,53%,45,53,-8,2
59,2022-04-18,44%,54%,44,54,-10,2
